,y_dates,y_pred,
522,22/2/2013,0.062493846,
523,1/3/2013,0.062234979,
524,8/3/2013,0.062228516,
525,15/3/2013,0.06222203,
526,22/3/2013,0.062215585,
527,29/3/2013,0.062209148,
528,5/4/2013,0.062202726,
529,12/4/2013,0.062196299,
530,19/4/2013,0.062189903,
531,26/4/2013,0.062183507,
532,3/5/2013,0.062177144,
533,10/5/2013,0.062170789,
534,17/5/2013,0.062164418,
535,24/5/2013,0.062158082,
536,31/5/2013,0.06215176,
537,7/6/2013,0.062145438,
538,14/6/2013,0.062139153,
539,21/6/2013,0.062132858,
540,28/6/2013,0.062126573,
541,5/7/2013,0.062120315,
542,12/7/2013,0.062114038,
543,19/7/2013,0.06210782,
544,26/7/2013,0.062101595,
545,2/8/2013,0.062095359,
546,9/8/2013,0.062089168,
547,16/8/2013,0.062082961,
548,23/8/2013,0.062076788,
549,30/8/2013,0.062070604,
550,6/9/2013,0.062064454,
551,13/9/2013,0.062058315,
552,20/9/2013,0.062052161,
553,27/9/2013,0.062046044,
554,4/10/2013,0.062039942,
555,11/10/2013,0.062033847,
556,18/10/2013,0.062027756,
557,25/10/2013,0.062021665,
558,1/11/2013,0.062015608,
559,8/11/2013,0.062009547,
560,15/11/2013,0.062003519,
561,22/11/2013,0.061997477,
562,29/11/2013,0.061991468,
563,6/12/2013,0.061985467,
564,13/12/2013,0.061979465,
565,20/12/2013,0.33924973,
566,27/12/2013,0.339245737,
567,3/1/2014,0.339241773,
568,10/1/2014,0.339237779,
569,17/1/2014,0.339233816,
570,24/1/2014,0.339229822,
571,31/1/2014,0.264808714,
572,7/2/2014,0.242898151,
573,14/2/2014,0.225309893,
574,21/2/2014,0.210875824,
575,28/2/2014,0.198812857,
576,7/3/2014,0.188577041,
577,14/3/2014,0.140518308,
578,21/3/2014,0.135400966,
579,28/3/2014,0.061874308,
580,4/4/2014,0.061869811,
581,11/4/2014,0.06186543,
582,18/4/2014,0.061865095,
583,25/4/2014,0.061859298,
584,2/5/2014,0.061853491,
585,9/5/2014,0.06184769,
586,16/5/2014,0.06184192,
587,23/5/2014,0.061836142,
588,30/5/2014,0.061830383,
589,6/6/2014,0.06182465,
590,13/6/2014,0.061818905,
591,20/6/2014,0.061813187,
592,27/6/2014,0.186436415,
593,4/7/2014,0.061801769,
594,11/7/2014,0.108297676,
595,18/7/2014,0.079177134,
596,25/7/2014,0.079116158,
597,1/8/2014,0.079112649,
598,8/8/2014,0.088140167,
599,15/8/2014,0.079032965,
600,22/8/2014,0.078985564,
601,29/8/2014,0.088027738,
602,5/9/2014,0.087942809,
603,12/9/2014,0.07885503,
604,19/9/2014,0.078808472,
605,26/9/2014,0.061756283,
606,3/10/2014,0.061753165,
607,10/10/2014,0.061750043,
608,17/10/2014,0.061746918,
609,24/10/2014,0.061741319,
610,31/10/2014,0.061735719,
611,7/11/2014,0.06173012,
612,14/11/2014,0.086766407,
613,21/11/2014,0.061718982,
614,28/11/2014,0.061713409,
615,5/12/2014,0.061707862,
616,12/12/2014,0.061749279,
617,19/12/2014,0.061743688,
618,26/12/2014,0.061738119,
619,2/1/2015,0.061732557,
620,9/1/2015,0.061726991,
621,16/1/2015,0.061721452,
622,23/1/2015,0.061715916,
623,30/1/2015,0.061710395,
624,6/2/2015,0.061704867,
625,13/2/2015,0.062270489,
626,20/2/2015,0.062264174,
627,27/2/2015,0.062257905,
628,6/3/2015,0.062251613,
629,13/3/2015,0.062245369,
630,20/3/2015,0.214848444,
631,27/3/2015,0.062232867,
632,3/4/2015,0.07443437,
633,10/4/2015,0.074431278,
634,17/4/2015,0.07439141,
635,24/4/2015,0.074388325,
636,1/5/2015,0.074344359,
637,8/5/2015,0.074300647,
638,15/5/2015,0.089668527,
639,22/5/2015,0.082146235,
640,29/5/2015,0.082113616,
641,5/6/2015,0.094516076,
642,12/6/2015,0.08201924,
643,19/6/2015,0.190089121,
644,26/6/2015,0.092677154,
645,3/7/2015,0.096265532,
646,10/7/2015,0.100802384,
647,17/7/2015,0.122554235,
648,24/7/2015,0.096889243,
649,31/7/2015,0.083810553,
650,7/8/2015,0.083775833,
651,14/8/2015,0.098660626,
652,21/8/2015,0.083709657,
653,28/8/2015,0.072873317,
654,4/9/2015,0.083557837,
655,11/9/2015,0.072804406,
656,18/9/2015,0.098269366,
657,25/9/2015,0.083410181,
658,2/10/2015,0.072688565,
659,9/10/2015,0.113141969,
660,16/10/2015,0.113965593,
661,23/10/2015,0.095435709,
662,30/10/2015,0.095413283,
663,6/11/2015,0.095423587,
664,13/11/2015,0.105637148,
665,20/11/2015,0.105516501,
666,27/11/2015,0.105396822,
667,4/12/2015,0.105278052,
668,11/12/2015,0.078539051,
669,18/12/2015,0.078535706,
670,25/12/2015,0.078532368,
671,1/1/2016,0.062605947,
672,8/1/2016,0.062600352,
673,15/1/2016,0.080109268,
674,22/1/2016,0.079622895,
675,29/1/2016,0.079617321,
676,5/2/2016,0.062574565,
677,12/2/2016,0.062569477,
