,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
OEF,-0.02763274,0.016549032,-0.008967299,-0.007265611,0.002924975,-0.019643479,-0.006443461,0.004970362,-0.012532928,0.012671531,0.012852279,-0.005903742,-0.00074341,0.004505718,-0.007988426,0.033744652,-0.00162845,0.034341019,0.014084426,0.011627632
OIL,-0.031228462,-0.048412816,-0.096977671,0.000471108,-0.113658361,0.08021597,-0.037202256,-0.062235713,-0.069005235,-0.019997288,-0.038336367,0.012348722,-0.037756,0.003228529,0.009800569,0.01123965,0.027971547,-0.014934827,-0.05344501,0.012639876
OLO,-0.02696593,-0.04131275,-0.073900238,-0.002668436,-0.083338228,0.051888365,-0.029528186,-0.043619641,-0.050887097,-0.031813341,-0.01830519,0.008750588,-0.03063298,-0.004877353,0.021729724,0.007751592,0.019826194,-0.010473494,-0.030285535,-0.006200391
ONEQ,-0.031871555,0.021157199,-0.010091178,0.008676742,0.029519729,0.017561906,-0.026242417,0.025726169,-0.021028067,0.011012509,0.002126375,0.004213177,-0.005689024,0.008835627,0.008826271,0.008416371,0.002389589,0.005012879,0.002113983,0.0051295
PAF,-0.038475129,-0.020389702,0.035637852,0.010387605,-0.013651347,-0.006405784,0.001343184,0.009792426,-0.017529142,-1.74049E-05,0.008735028,-0.016845048,-0.011149853,0.009216098,0.009666632,-0.000676663,-0.001626684,-0.01017936,-0.003371927,0.028565708
PAGG,-0.034447193,-0.014456385,0.006529098,-0.001747798,-0.004072978,0.001967482,-0.018338008,0.061940229,0.010739336,-0.026456958,-0.006778913,-0.023838297,-0.009733874,-0.015644427,-0.025948178,-0.028750426,0.001054465,-0.019495705,0.015424514,-0.011756927
PALL,-0.035370144,-0.067182914,-0.00390169,0.003105696,0.004056528,-0.079761441,-0.012666767,0.013702019,-0.008938949,-0.060606171,-0.025521072,0.008513114,0.025214517,-0.035254829,-0.000476747,-0.004322574,0.026253731,-0.006860916,0.014591129,0.099564388
PBD,-0.044158423,0.007387997,0.02177609,0.029783372,0.026517912,0.001864558,0.067597026,0.008983045,0.01820585,-0.038853011,-0.085591832,0.06845561,0.037477509,-0.050309991,0.009255941,0.004310626,-0.056236145,-0.001834654,-0.037875177,0.003976266
PBE,-0.030443021,0.027296049,-0.006737237,-0.026498871,0.020590223,0.007567786,-0.044599296,0.027565129,0.014617303,0.045177394,-0.072236404,0.077724898,-0.04794387,0.061624231,-0.074830312,-0.024365894,-0.023198447,0.009746217,-0.013336676,0.031390332
PBJ,-0.020744106,0.015320259,-0.002687295,-0.028992831,0.011306981,0.002103476,-0.016599308,-0.019280503,0.01393486,0.019283881,0.018587032,0.012445072,-0.023383566,0.009413121,-0.011289575,0.008326018,-0.026257585,-0.025392435,0.015625876,-0.007246804
PBS,-0.035106115,0.027009859,-0.014724561,-0.004988768,0.021758307,0.005667057,-0.004151332,0.008044833,-0.012991557,0.006778415,-0.001285084,0.010086923,-0.013468311,0.007626342,-0.004828102,0.009166242,-0.027209043,0.000206694,-0.002589407,0.019429818
PBW,-0.049640526,0.023677763,0.00994915,0.044109913,0.044661298,0.051516154,0.057412361,0.004717255,0.035477256,-0.056541771,-0.139295891,0.061447258,0.060406079,-0.092457518,-0.011448876,0.010363565,-0.054005897,-0.002049863,-0.050005584,-0.034358152
PCEF,-0.014766234,0.001446922,0.010515273,-0.019368849,0.004396477,0.012474253,-0.011789624,0.010015552,-0.001845685,0.016842334,-0.010272218,-0.019243824,-0.011796867,-0.007156133,-0.019685368,0.014010702,0.017006066,-0.001846782,-0.022533637,-0.027078541
PCY,-0.006202533,-0.01232829,0.029633573,-0.032581727,-0.008308694,0.012921233,0.000808865,0.005683872,-0.008053546,0.000461042,0.004855596,-0.023782279,-0.002313328,0.004981384,0.007717383,0.015237227,0.010633507,0.020739195,-0.029086312,-0.027171187
PDN,-0.030896393,-0.005375119,0.01400549,-0.006927983,-0.006498567,-0.026960345,0.023157837,0.006347211,-0.029873137,-0.002722076,-0.0003236,0.012493973,-0.007843229,-0.006033008,0.001211052,-0.025896665,0.0001711,-0.034036681,0.004855118,-0.002644814
PDP,-0.030707547,0.022903159,-0.008884201,-0.013914702,0.022266055,0.024223092,-0.02387736,0.018898095,-0.000643982,0.014575577,-0.0064815,-0.000151969,-0.033509111,-0.007276113,-0.003133356,-0.00389568,0.009608594,-0.001591867,0.003327507,0.007844958
PEJ,-0.031832855,0.027135797,-0.007248387,-0.004076023,0.031649507,0.020379853,-0.015236631,0.014894073,0.016784565,0.003881234,-0.004665392,-0.007889429,-0.021308029,0.016684142,0.001873141,0.019232886,0.003191827,-0.023831344,0.002978356,-0.012381928
PEZ,-0.032974742,0.028399799,-0.01294156,-0.005930998,0.037212829,0.023362669,-0.024520748,0.000630577,0.006057453,0.011033938,0.00588224,0.004597803,-0.020293847,0.015689768,0.012741452,0.010813018,0.001161074,-0.021476057,-0.01607177,-0.001067553
PFF,-0.008790893,0.001235562,0.005757256,-0.017479069,0.004370152,0.005541823,0.005164957,0.005053992,0.02240869,0.009171043,-0.010981568,-0.002281579,-0.014429839,-0.011896766,-0.009939294,-0.003087018,0.009091003,0.016352262,-0.025969178,-0.01459557
PFI,-0.033532071,0.020200643,-0.008215865,-0.008835398,-0.000718325,-0.025449232,-0.003267492,-0.031224036,0.025234012,-0.009186458,0.01022238,0.002248295,0.020403832,0.033992008,0.01278786,0.033500791,-0.00630035,-0.00581082,-0.021742649,0.017183685
PFM,-0.022170813,0.012593813,-0.00452081,-0.02301742,-0.004256514,-0.015508924,-0.008722209,-0.008495159,-0.011712018,0.016580527,0.021653556,-0.003425002,-0.009428397,-0.003149784,-0.027150852,0.026741183,-0.021344724,0.001876009,0.01283967,0.007071792
PGF,-0.010469979,0.000146297,0.009855928,-0.014232268,0.003552099,0.002667125,0.005249329,0.004623337,0.017598434,0.007276144,-0.008366655,-0.009187563,-0.014935346,-0.008483853,-0.006210836,-0.002694607,0.018565111,0.027760465,-0.033899098,-0.01175441
PGJ,-0.037346097,-0.013762618,0.039426059,0.060796981,0.025691269,0.067186167,0.023501845,0.004721,0.013349106,-0.008549511,-0.046822028,0.024193695,-0.042626884,0.009281699,-0.004056009,0.071931203,0.011004417,-0.053660895,0.01450245,-0.034745679
PGM,-0.022895406,-0.069095444,-0.005055791,-0.000128603,0.022400461,-0.018002037,0.011556975,0.026696152,3.288E-05,-0.028214778,-0.038686774,0.026995632,0.00862811,-0.040398525,-0.000243105,0.046224644,0.077587065,0.043443834,0.018959582,0.01840682
