,dim0_KK1,dim0_KK2,dim0_KK3,dim0_KK4,dim0_KK5,,,
MBB,0.01496994,0.00082088,0.00059902,0.000305599,0.000246988,0.000000538,0,0
MBG,0.01496994,0.001979956,0.000761103,0.000517725,0.000414937,0.000000701,0,0
MCRO,0.01496994,0.001870468,0.000662713,0.00049204,0.000464691,0.000000103,0,0
MDY,0.01496994,0.0007509,0.000605044,0.000484817,0.000347918,0.0000126,0,0
MDYG,0.01496994,0.001089105,0.001065103,0.000718607,0.000528683,0.000000331,0,0
MDYV,0.01496994,0.002851726,0.001648269,0.001491278,0.001480997,0.0000137,0.000000181,0
MGC,0.01496994,0.000442299,0.000208451,0.000206716,0.00017292,0,0,0
MGK,0.01496994,0.000362337,0.000345926,0.000311177,0.000273769,0.00000048,0,0
MGV,0.01496994,0.000536881,0.000445673,0.000380823,0.000350714,0.00000424,0,0
MIDU,0.01496994,0.01496994,0.01496994,0.012662392,0.009829999,0.00000604,0,0
MIDZ,0.01496994,0.008228517,0.005382923,0.003502682,0.003094169,0.0000257,0.00000243,0
MLN,0.01496994,0.003368234,0.003347092,0.003064208,0.003063133,0.00000284,0,0
MLPG,0.01496994,0.012039601,0.008329171,0.007604619,0.005833677,0.00000925,8.13E-08,0
MLPI,0.01496994,0.008248589,0.005944336,0.005243557,0.005233788,0.00000397,0,0
MNA,0.01496994,0.003287482,0.00179975,0.001574925,0.001352362,0.000000132,0,0
MOO,0.01496994,0.002782795,0.0026411,0.002409447,0.002398189,0.000158906,0.00000245,0
MTK,0.01496994,0.000982211,0.000838657,0.000826004,0.000825759,0.00000889,0.00000148,0
MUB,0.01496994,0.002617584,0.002471285,0.002135055,0.001683297,0.000000914,0,0
MUNI,0.01496994,0.000496554,0.0003077,0.000303811,0.000263254,0.000000155,0,0
